INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
000905.SH	688183.SH	20260513	831821175	30	249546353	1	0.2311	102.6
000905.SH	688180.SH	20260513	766394171	70	536475920	1	0.2005	41.41
000905.SH	688172.SH	20260513	1427618097	20	285523619	1	0.1272	49.36
000905.SH	688166.SH	20260513	423102473	70	296171731	1	0.174	65.1
000905.SH	688122.SH	20260513	649664497	70	454765148	1	0.2748	66.95
000905.SH	688120.SH	20260513	353651991	70	247556394	1	0.5254	235.14
000905.SH	688114.SH	20260513	416516155	60	249909693	1	0.1168	51.79
000905.SH	688100.SH	20260513	491685175	30	147505553	1	0.0503	37.81
000905.SH	688099.SH	20260513	421165613	80	336932490	1	0.3437	113.0
000905.SH	688065.SH	20260513	721289794	50	360644897	1	0.1524	46.82
000905.SH	688052.SH	20260513	142528433	80	114022746	1	0.2286	222.1
000905.SH	688349.SH	20260513	1226404215	20	245280843	1	0.0523	23.62
000905.SH	688361.SH	20260513	350163237	60	210097942	1	0.3778	199.2
000905.SH	688363.SH	20260513	481678242	40	192671297	1	0.0714	41.05
000905.SH	688375.SH	20260513	596014900	30	178804470	1	0.2059	127.56
000905.SH	688819.SH	20260513	972100000	14	136094000	1	0.0332	27.06
000905.SH	688778.SH	20260513	504691083	40	201876433	1	0.1403	76.99
000905.SH	688777.SH	20260513	791189527	80	632951622	1	0.4501	78.77
000905.SH	688772.SH	20260513	1132068851	60	679241311	1	0.0964	15.73
000905.SH	688728.SH	20260513	2600586667	30	780176000	1	0.1025	14.56
000905.SH	688709.SH	20260513	636847026	30	191054108	1	0.0679	39.36
000905.SH	688702.SH	20260513	410000000	30	123000000	1	0.3311	298.2
000905.SH	688692.SH	20260513	113240000	50	56620000	1	0.1426	279.0
000905.SH	688676.SH	20260513	459784364	60	275870618	1	0.2182	87.64
000905.SH	688629.SH	20260513	460992831	40	184397132	1	0.2249	135.12
000905.SH	688617.SH	20260513	141030049	60	84618029	1	0.1799	235.59
000905.SH	688615.SH	20260513	196000000	50	98000000	1	0.1263	142.74
000905.SH	688608.SH	20260513	168693735	70	118085615	1	0.1897	177.96
000905.SH	688599.SH	20260513	2342567686	60	1405540612	1	0.2298	18.11
000905.SH	688582.SH	20260513	401739056	50	200869528	1	0.098	54.05
000905.SH	688578.SH	20260513	450000000	60	270000000	1	0.2315	95.0
000905.SH	688568.SH	20260513	808078912	50	404039456	1	0.2289	62.77
000905.SH	688563.SH	20260513	450000000	30	135000000	1	0.0735	60.31
000905.SH	688561.SH	20260513	682252725	40	272901090	1	0.0754	30.59
000905.SH	688538.SH	20260513	13809437625	40	5523775050	1	0.1162	2.33
000905.SH	688525.SH	20260513	466708301	70	326695811	1	0.9112	308.97
000905.SH	688520.SH	20260513	470335714	30	141100714	1	0.0552	43.35
000905.SH	688475.SH	20260513	787500000	20	157500000	1	0.0437	30.71
000905.SH	688469.SH	20260513	8382687172	60	5029612303	1	0.3332	7.34
000905.SH	688425.SH	20260513	5333497000	30	1600049100	1	0.0685	4.74
000905.SH	688387.SH	20260513	3418750000	40	1367500000	1	0.2706	21.92
000905.SH	688385.SH	20260513	537097300	70	375968110	1	0.2498	73.61
000905.SH	688037.SH	20260513	201627296	80	161301837	1	0.3986	273.74
000905.SH	688027.SH	20260513	102861001	60	61716601	1	0.3359	603.01
